iso3_countrycode,country,lat,lon,year,amount_totalcap.mw_nonrenewable,amount_totalcap.mw_nuclear,amount_totalcap.mw_renewable,amount_totalgen.gwh_nonrenewable,amount_totalgen.gwh_nuclear,amount_totalgen.gwh_renewable,prop_totalcap.mw_nonrenewable,prop_totalcap.mw_nuclear,prop_totalcap.mw_renewable,prop_totalgen.gwh_nonrenewable,prop_totalgen.gwh_nuclear,prop_totalgen.gwh_renewable
AFG,Afghanistan,33.83157582199988,66.02686033678734,2022,276.66,0,492.22,0,0,0,0.35982207886796375,0,0.6401779211320362,NA,NA,NA
ALB,Albania,41.139240668494395,20.066299142871895,2022,97,0,2537.03,0,0,0,0.036825700542514696,0,0.9631742994574853,NA,NA,NA
DZA,Algeria,28.161517686206015,2.6750778495256653,2022,25950.199999999997,0,599.3,0,0,0,0.9774270701896458,0,0.022572929810354244,NA,NA,NA
ASM,American Samoa,-14.29706,-170.7025,2022,46.71,0,4.8100000000000005,0,0,0,0.906638198757764,0,0.09336180124223603,NA,NA,NA
AND,Andorra,42.54547237537381,1.5762805257067276,2022,1.7,0,55.35,0,0,0,0.029798422436459242,0,0.9702015775635408,NA,NA,NA
AGO,Angola,-12.33853566973576,17.57861786768525,2022,2136.86,0,4065.74,0,0,0,0.3445103666204495,0,0.6554896333795505,NA,NA,NA
AIA,Anguilla,NA,NA,2022,23.8,0,1.54,0,0,0,0.9392265193370166,0,0.06077348066298343,NA,NA,NA
ATG,Antigua and Barbuda,17.077902604306807,-61.79826161025697,2022,64.55,0,12.86,0,0,0,0.8338715928174655,0,0.16612840718253455,NA,NA,NA
ARG,Argentina,-35.1887239607488,-65.1448864860499,2022,25555.46,1755,16065.68,0,0,0,0.5891593857821373,0.040460031713287534,0.3703805825045751,NA,NA,NA
ARM,Armenia,40.29422208795369,44.93831434932953,2022,2085.6,448.2,1583.33,0,0,0,0.5065664674178372,0.10886224141574348,0.3845712911664193,NA,NA,NA
ABW,Aruba,NA,NA,2022,216,0,45.6,0,0,0,0.8256880733944953,0,0.17431192660550457,NA,NA,NA
AUS,Australia,-25.57507176851369,134.35232732782492,2022,53697,0,49629.36,0,0,0,0.5196834573481539,0,0.48031654265184603,NA,NA,NA
AUT,Austria,47.58703617766693,14.141781257060387,2022,5084.0199999999995,0,23424.37,0,0,0,0.17833416759066364,0,0.8216658324093363,NA,NA,NA
AZE,Azerbaijan,40.35506723882161,47.65517960632687,2022,7034.4,0,1339,0,0,0,0.840088852795758,0,0.15991114720424202,NA,NA,NA
BHS,Bahamas (the),24.67661032817253,-78.0554975017906,2022,902,0,9.049999999999999,0,0,0,0.9900664068931453,0,0.009933593106854727,NA,NA,NA
BHR,Bahrain,26.077729652452923,50.55023090436085,2022,8565,0,12.41,0,0,0,0.9985531763084661,0,0.0014468236915339246,NA,NA,NA
BGD,Bangladesh,23.881174015795047,90.26079347819224,2022,24633,0,801.08,0,0,0,0.9685036769562728,0,0.031496323043727154,NA,NA,NA
BRB,Barbados,13.17278454246263,-59.55749565091428,2022,297.54,0,70.03999999999999,0,0,0,0.8094564448555416,0,0.1905435551444583,NA,NA,NA
BLR,Belarus,53.54194041850515,28.049299480691303,2022,9745,1170,627.9,0,0,0,0.8442419149433852,0.10136100979823096,0.05439707525838394,NA,NA,NA
BEL,Belgium,50.641027636640146,4.661082904544525,2022,7314.700000000001,5851,14396.4,0,0,0,0.2653897925049253,0.21228425990762678,0.522325947587448,NA,NA,NA
BLZ,Belize,17.199432557684947,-88.70674828713786,2022,92.36,0,99.02,0,0,9.11,0.48260006270247674,0,0.5173999372975232,0,0,1
BEN,Benin,9.652513517374585,2.3366525929154,2022,301,0,28.439999999999998,0,0,0,0.9136716852841185,0,0.0863283147158815,NA,NA,NA
BTN,Bhutan,27.394650657264837,90.43185758860064,2022,8.32,0,2335.4,0,0,0,0.0035499121055416172,0,0.9964500878944583,NA,NA,NA
BOL,Bolivia (Plurinational State of),-16.71298220665343,-64.66214964555853,2022,2839.13,0,1364.09,7233.75,0,4182.09,0.6754654764680411,0,0.3245345235319588,0.6336590211495606,0,0.3663409788504394
BES,"Bonaire, Sint Eustatius and Saba",12.17873,-68.26864,2022,36.84,0,17.78,0,0,0,0.6744782131087513,0,0.3255217868912486,NA,NA,NA
BIH,Bosnia and Herzegovina,44.168576848369135,17.78596691150161,2022,2224.74,0,2509.46,0,0,0,0.4699294495374086,0,0.5300705504625914,NA,NA,NA
BWA,Botswana,-22.187383853933877,23.81476974281584,2022,917,0,6.27,0,0,0,0.9932089204674689,0,0.006791079532531112,NA,NA,NA
BRA,Brazil,-10.782294844190725,-53.09469657804757,2022,30586.359999999997,1990,175261.88,0,0,0,0.14716425620232348,0.009574753904767478,0.8432609898929091,NA,NA,NA
VGB,British Virgin Islands,18.72642,-64.32179,2022,72.14,0,1.97,167,0,3.85,0.9734178923222238,0,0.026582107677776277,0.9774656131109161,0,0.022534386889083994
BRN,Brunei Darussalam,4.499019101310995,114.63028700619968,2022,1226,0,4.8999999999999995,0,0,0,0.9960191729628726,0,0.003980827037127305,NA,NA,NA
BGR,Bulgaria,42.75776894687532,25.23483346709825,2022,3806.67,2006,6069.29,0,0,0,0.320373911374891,0.16882736518217534,0.5107987234429336,NA,NA,NA
BFA,Burkina Faso,12.273950492592649,-1.735448751832592,2022,389.16,0,121.9,0,0,0,0.7614761476147615,0,0.23852385238523852,NA,NA,NA
BDI,Burundi,-3.3656908199661872,29.89091094194888,2022,50.5,0,76.28,0,0,0,0.39832781195772204,0,0.601672188042278,NA,NA,NA
CPV,Cabo Verde,15.08357980752166,-23.624055899987894,2022,141,0,35.39,0,0,0,0.7993650433698056,0,0.20063495663019448,NA,NA,NA
KHM,Cambodia,12.714019054170596,104.92043757030405,2022,1667.6000000000001,0,1839.54,0,0,0,0.47548714907303385,0,0.5245128509269661,NA,NA,NA
CMR,Cameroon,5.6945472866142435,12.7458431032562,2022,706.3599999999999,0,826.62,0,0,0,0.46077574397578563,0,0.5392242560242143,NA,NA,NA
CAN,Canada,57.72443840546885,-101.67369384127956,2022,33545.05,13338,107047.92,0,0,0,0.21792268313517418,0.08664922984633956,0.6954280870184862,NA,NA,NA
CYM,Cayman Islands,19.26967,-81.27686,2022,179.25,0,13.7,731.19,0,22.33,0.9289971495206012,0,0.0710028504793988,0.9703657500796262,0,0.029634249920373706
CAF,Central African Republic (the),6.577793652607762,20.48478090235483,2022,72,0,19.169999999999998,0,0,0,0.7897334649555775,0,0.21026653504442247,NA,NA,NA
TCD,Chad,15.371924784933327,18.66606091426879,2022,282,0,3.83,0,0,0,0.9866004268271351,0,0.013399573172864991,NA,NA,NA
CHL,Chile,-35.281314210319685,-71.22955067155567,2022,12669.16,0,18800.59,0,0,0,0.40258216223516236,0,0.5974178377648377,NA,NA,NA
