year,amount_totalcap.mw_nonrenewable,amount_totalcap.mw_nuclear,amount_totalcap.mw_renewable,amount_totalgen.gwh_nonrenewable,amount_totalgen.gwh_nuclear,amount_totalgen.gwh_renewable,prop_totalcap.mw_nonrenewable,prop_totalcap.mw_nuclear,prop_totalcap.mw_renewable,prop_totalgen.gwh_nonrenewable,prop_totalgen.gwh_nuclear,prop_totalgen.gwh_renewable
2000,2319182.74,358461.5,837286.11,10024210.91,2588111.26,2930026.75,0.6598090172682939,0.1019825328829062,0.2382084498488,0.644961129208776,0.16651995610969722,0.1885189146815268
2001,2339264.94,360322.4,855356.69,10142415.18,2636315.59,2875165.02,0.6580314402305794,0.10135810773932215,0.24061045203009848,0.6479163599951371,0.16841274692042651,0.18367089308443646
2002,2440915.08,366680.5,877068.04,10628375.38,2661408.76,2974839.7,0.6624526230158291,0.09951532563507114,0.23803205134909983,0.6534657969685944,0.16363174372681955,0.18290245930458607
2003,2562623.18,366526.36,908146.0800000001,11206940.48,2637712.04,2999142.93,0.6678201092049302,0.09551684214519808,0.2366630486498718,0.6653453203743341,0.15659843696332706,0.17805624266233894
2004,2643122.63,373804.6,943439.21,11687154.98,2740962.15,3215964.5,0.6673934521069217,0.09438636693426783,0.23822018095881045,0.6623838647475131,0.1553473967916572,0.18226873846082972
2005,2743635.63,377973.54,986792.89,12237849.55,2769058.1,3381287.03,0.6678108884990677,0.0920001339888336,0.2401889775120987,0.665527517136337,0.15058890490276233,0.1838835779609007
2006,2884278.55,378598.27,1031235.15,12755486.9,2791900.06,3534043.21,0.6716821941650487,0.08816683697234845,0.24015096886260281,0.6684764604308483,0.14631503168926252,0.18520850787988916
2007,3004314.43,379782.2,1086943.65,13573380.34,2720120.39,3640280.3,0.6719497570708534,0.08494269257623419,0.24310755035291245,0.6809235197061859,0.13645782432877462,0.18261865596503946
2008,3106455.51,378601.6,1152901.84,13759468.68,2734723.32,3857377.82,0.669789349903582,0.08163108041307696,0.248579569683341,0.6760888128874571,0.13437407257461378,0.18953711453792904
2009,3221779.61,379947.4,1237556.12,13563172.040000001,2692627.23,3990605.5100000002,0.6657555516905662,0.07851315779492324,0.2557312905145106,0.6699052097090396,0.13299285770774755,0.19710193258321293
2010,3371184.68,381693.9,1324650.76,14555214.47,2750408.23,4292681,0.6639419399199376,0.07517315498171007,0.26088490509835244,0.673905445176234,0.1273437149603559,0.19875083986341022
2011,3493900.85,386400.3,1435058.49,15218371.83,2576728.28,4494320.1,0.6573216276293208,0.07269504345335323,0.2699833289173261,0.6827621215186377,0.11560319899411146,0.20163467948725075
2012,3602378.94,378859.7,1550733.3,17074900.85,2460229.91,4845124.34,0.6511925546751779,0.06848547030048746,0.28032197502433465,0.7003577599973513,0.10091075339076333,0.19873148661188536
2013,3710349.7,376876.8,1674940.33,15902877.66,2476945.2399999998,5128214.54,0.6439157021075005,0.06540539542136095,0.29067890247113864,0.6764868271368552,0.1053658879998789,0.2181472848632659
2014,3835188.57,383714.8,1808952.9,15992681.799999999,2533390.3,5407419.79,0.6362441966453856,0.06365692591406132,0.3000988774405532,0.6682134756392206,0.10585126113830938,0.22593526322246996
2015,3931922.15,383363.5,1965876.63,16148999.47,2569723.6,5610249.69,0.6259863978550162,0.06103384738532819,0.3129797547596557,0.6637764622989367,0.10562400744781794,0.23059953025324526
2016,4028928.43,398293.3,2133519.1,16369757.55,2605681.3,5998713.4799999995,0.6140965684206123,0.06070858616739475,0.3251948454119929,0.6554679948170238,0.1043351247950044,0.2401968803879719
2017,4113720.56,398721.93,2307796.02,16699201.49,2633426.2399999998,6346303.98,0.6031637389173946,0.058461581573046775,0.3383746795095587,0.6503074846955929,0.10255201695070826,0.24714049835369886
2018,4237282.07,405170.69,2483411.32,17200438.21,2708821.5,6745154.95,0.5946341415482065,0.05685916619391932,0.3485066922578742,0.645312922058368,0.10162749902983613,0.2530595789117959
2019,4297230.51,403654.79,2671148.01,17176602.669999998,2779015.18,7108877.78,0.5829098064669488,0.054754878745929055,0.3623353147871221,0.6346544530081826,0.10268121076380096,0.2626643362280164
2020,4361171.46,399700.39,2946211.38,16712420.549999999,2679742.09,7576460.36,0.5658653643474407,0.0518614342250979,0.3822732014274614,0.6196986976309469,0.09936518041725749,0.2809361219517956
2021,4422652.19,402202.88,3217732.61,17592498.89,2789348.25,7983492.38,0.5499041311042319,0.05000913835234681,0.40008673054342125,0.6202111163730573,0.09833650142044907,0.28145238220649366
2022,4473860.6,406648.08,3518859.09,108807.95000000001,0,99685.88,0.5326425419755134,0.048414129626806426,0.4189433283976801,0.5218761149910288,0,0.47812388500897124
