source,source_iso3,recipient,recipient_iso3,year,category,value_usd
Afghanistan,AFG,India,IND,2018,Ignore,147
Albania,ALB,Colombia,COL,2018,Ignore,13381
Albania,ALB,Germany,DEU,2020,Fuel fabrication,7447
Albania,ALB,Hungary,HUN,2019,Ignore,14982
Albania,ALB,Italy,ITA,2017,Fuel fabrication,16815
Albania,ALB,Montenegro,MNE,2021,Fuel fabrication,40266
Albania,ALB,Spain,ESP,2018,Ignore,7662
Algeria,DZA,Argentina,ARG,2018,Enrichment,1648
Algeria,DZA,Argentina,ARG,2018,Mining,18
Algeria,DZA,Belgium,BEL,2017,Ignore,493
Algeria,DZA,Czech Rep.,CZE,2017,Ignore,5395
Algeria,DZA,Czech Rep.,CZE,2018,Ignore,3069
Algeria,DZA,Czech Rep.,CZE,2019,Enrichment,199
Algeria,DZA,Czech Rep.,CZE,2019,Ignore,59020
Algeria,DZA,Czech Rep.,CZE,2020,Ignore,88717
Algeria,DZA,Czech Rep.,CZE,2021,Enrichment,87
Algeria,DZA,Czech Rep.,CZE,2021,Ignore,103537
Algeria,DZA,Dominican Rep.,DOM,2019,Ignore,2899
Algeria,DZA,Egypt,EGY,2018,Enrichment,1301
Algeria,DZA,Egypt,EGY,2019,Enrichment,16402
Algeria,DZA,France,FRA,2017,Ignore,16402
Algeria,DZA,France,FRA,2018,Ignore,5024
Algeria,DZA,France,FRA,2019,Ignore,802
Algeria,DZA,France,FRA,2020,Ignore,3425
Algeria,DZA,France,FRA,2021,Ignore,4157
Algeria,DZA,Germany,DEU,2019,Ignore,1554
Algeria,DZA,Germany,DEU,2020,Ignore,1733
Algeria,DZA,Germany,DEU,2021,Ignore,24
Algeria,DZA,Hungary,HUN,2020,Ignore,59
Algeria,DZA,Hungary,HUN,2021,Ignore,1500
Algeria,DZA,Indonesia,IDN,2019,Ignore,127749
Algeria,DZA,Indonesia,IDN,2020,Ignore,247516
Algeria,DZA,Malaysia,MYS,2020,Ignore,201350
Algeria,DZA,Niger,NER,2017,Ignore,164
Algeria,DZA,Niger,NER,2021,Ignore,722
Algeria,DZA,Singapore,SGP,2020,Ignore,80655
Algeria,DZA,Thailand,THA,2021,Ignore,51305
Algeria,DZA,United Kingdom,GBR,2021,Ignore,44081
American Samoa,ASM,Australia,AUS,2017,Fuel fabrication,1626
Andorra,AND,Argentina,ARG,2018,Fuel fabrication,474
Andorra,AND,Germany,DEU,2018,Power Plant,13643
Andorra,AND,Germany,DEU,2019,Power Plant,44587
Andorra,AND,Germany,DEU,2020,Power Plant,27737
Andorra,AND,Germany,DEU,2021,Power Plant,18003
Andorra,AND,Philippines,PHL,2021,Ignore,10877
Andorra,AND,Rep. of Korea,KOR,2020,Ignore,370
Andorra,AND,Spain,ESP,2018,Power Plant,2805
Andorra,AND,United Arab Emirates,ARE,2018,Power Plant,426
Angola,AGO,Algeria,DZA,2019,Ignore,69691
Angola,AGO,Congo,COG,2018,Enrichment,2561
Angola,AGO,Congo,COG,2018,Ignore,31883
Angola,AGO,Congo,COG,2020,Enrichment,760
Angola,AGO,Congo,COG,2020,Ignore,8925
Angola,AGO,Congo,COG,2021,Enrichment,391
Angola,AGO,Congo,COG,2021,Ignore,52172
Angola,AGO,Cote d'Ivoire,CIV,2017,Ignore,547
Angola,AGO,Cuba,CUB,2019,Power Plant,949
Angola,AGO,Cuba,CUB,2020,Power Plant,562
Angola,AGO,Czech Rep.,CZE,2019,Ignore,79
Angola,AGO,Czech Rep.,CZE,2020,Ignore,282
Angola,AGO,Czech Rep.,CZE,2021,Ignore,234
Angola,AGO,Dem. Rep. of the Congo,COD,2017,Power Plant,588
Angola,AGO,Dem. Rep. of the Congo,COD,2019,Enrichment,120
Angola,AGO,Dem. Rep. of the Congo,COD,2019,Power Plant,316
Angola,AGO,Dem. Rep. of the Congo,COD,2021,Enrichment,245
Angola,AGO,Eritrea,ERI,2019,Power Plant,822
Angola,AGO,Ethiopia,ETH,2018,Ignore,1363
Angola,AGO,France,FRA,2017,Ignore,1102
Angola,AGO,France,FRA,2020,Ignore,873
Angola,AGO,Gabon,GAB,2019,Ignore,15767
Angola,AGO,Kazakhstan,KAZ,2017,Ignore,34159
Angola,AGO,Liberia,LBR,2017,Ignore,1807
Angola,AGO,Malaysia,MYS,2018,Ignore,1681
Angola,AGO,Namibia,NAM,2018,Ignore,30517
Angola,AGO,Namibia,NAM,2019,Ignore,2857
Angola,AGO,Namibia,NAM,2019,Power Plant,157
Angola,AGO,Namibia,NAM,2020,Ignore,2852
Angola,AGO,Netherlands,NLD,2017,Enrichment,306
Angola,AGO,Netherlands,NLD,2017,Ignore,23202
Angola,AGO,Netherlands,NLD,2019,Ignore,596
Angola,AGO,Norway,NOR,2017,Ignore,22
Angola,AGO,Portugal,PRT,2017,Ignore,297
Angola,AGO,Portugal,PRT,2018,Ignore,184
Angola,AGO,Portugal,PRT,2019,Ignore,619
Angola,AGO,Portugal,PRT,2020,Ignore,150
Angola,AGO,Russian Federation,RUS,2017,Ignore,117872
Angola,AGO,Russian Federation,RUS,2018,Ignore,2483
Angola,AGO,Russian Federation,RUS,2019,Ignore,113
Angola,AGO,Saudi Arabia,SAU,2018,Ignore,1846
Angola,AGO,Saudi Arabia,SAU,2019,Ignore,1120
Angola,AGO,Singapore,SGP,2018,Ignore,7432
Angola,AGO,Singapore,SGP,2019,Ignore,11760
Angola,AGO,South Africa,ZAF,2017,Ignore,9901
Angola,AGO,South Africa,ZAF,2020,Ignore,4201
Angola,AGO,South Africa,ZAF,2020,Power Plant,175
Angola,AGO,USA,USA,2017,Ignore,12699
Angola,AGO,USA,USA,2018,Ignore,737455
Angola,AGO,USA,USA,2019,Ignore,98524
Angola,AGO,USA,USA,2020,Ignore,18823
Angola,AGO,USA,USA,2021,Ignore,48840
Angola,AGO,United Arab Emirates,ARE,2017,Ignore,1027
Angola,AGO,United Kingdom,GBR,2017,Ignore,16540
Angola,AGO,United Kingdom,GBR,2018,Ignore,58763
Angola,AGO,United Kingdom,GBR,2019,Ignore,68607
Angola,AGO,United Kingdom,GBR,2020,Ignore,3723
Angola,AGO,United Kingdom,GBR,2021,Ignore,520
Antigua and Barbuda,ATG,Germany,DEU,2019,Ignore,10071
Antigua and Barbuda,ATG,Germany,DEU,2021,Ignore,10682
Argentina,ARG,Algeria,DZA,2017,Enrichment,101442
Argentina,ARG,Australia,AUS,2017,Enrichment,689765
Argentina,ARG,Australia,AUS,2017,Ignore,58668
Argentina,ARG,Bolivia,BOL,2017,Ignore,193316
Argentina,ARG,Bolivia,BOL,2018,Ignore,198258
Argentina,ARG,Bolivia,BOL,2019,Ignore,198015
Argentina,ARG,Bolivia,BOL,2020,Ignore,95459
Argentina,ARG,Bolivia,BOL,2021,Ignore,185327
Argentina,ARG,Brazil,BRA,2017,Ignore,3549799
Argentina,ARG,Brazil,BRA,2018,Ignore,391272
Argentina,ARG,Brazil,BRA,2019,Ignore,264348
Argentina,ARG,Brazil,BRA,2021,Ignore,376116
Argentina,ARG,Canada,CAN,2018,Fuel fabrication,120089
Argentina,ARG,Canada,CAN,2019,Ignore,58183
Argentina,ARG,Canada,CAN,2020,Ignore,59501
Argentina,ARG,Canada,CAN,2021,Ignore,4152211
Argentina,ARG,Chile,CHL,2017,Ignore,444510
Argentina,ARG,Chile,CHL,2018,Ignore,572755
Argentina,ARG,Chile,CHL,2019,Ignore,679403
Argentina,ARG,Chile,CHL,2020,Ignore,783629
Argentina,ARG,Chile,CHL,2021,Ignore,690576
Argentina,ARG,Costa Rica,CRI,2017,Ignore,43865
Argentina,ARG,Costa Rica,CRI,2018,Ignore,39708
Argentina,ARG,Costa Rica,CRI,2019,Ignore,33772
Argentina,ARG,Costa Rica,CRI,2020,Ignore,5348
Argentina,ARG,Costa Rica,CRI,2021,Ignore,51024
Argentina,ARG,Cuba,CUB,2017,Ignore,1731
Argentina,ARG,Dominican Rep.,DOM,2017,Ignore,727
Argentina,ARG,Dominican Rep.,DOM,2018,Ignore,47139
Argentina,ARG,Dominican Rep.,DOM,2019,Enrichment,16
Argentina,ARG,Dominican Rep.,DOM,2019,Ignore,25683
Argentina,ARG,Dominican Rep.,DOM,2021,Ignore,29344
Argentina,ARG,Ecuador,ECU,2017,Fuel fabrication,156
Argentina,ARG,Ecuador,ECU,2017,Ignore,648794
