source,source_iso3,recipient,recipient_iso3,category,sum_value_usd
Afghanistan,AFG,India,IND,Ignore,147
Albania,ALB,Colombia,COL,Ignore,13381
Albania,ALB,Germany,DEU,Fuel fabrication,7447
Albania,ALB,Hungary,HUN,Ignore,14982
Albania,ALB,Italy,ITA,Fuel fabrication,16815
Albania,ALB,Montenegro,MNE,Fuel fabrication,40266
Albania,ALB,Spain,ESP,Ignore,7662
Algeria,DZA,Argentina,ARG,Enrichment,1648
Algeria,DZA,Argentina,ARG,Mining,18
Algeria,DZA,Belgium,BEL,Ignore,493
Algeria,DZA,Czech Rep.,CZE,Enrichment,286
Algeria,DZA,Czech Rep.,CZE,Ignore,259738
Algeria,DZA,Dominican Rep.,DOM,Ignore,2899
Algeria,DZA,Egypt,EGY,Enrichment,17703
Algeria,DZA,France,FRA,Ignore,29810
Algeria,DZA,Germany,DEU,Ignore,3311
Algeria,DZA,Hungary,HUN,Ignore,1559
Algeria,DZA,Indonesia,IDN,Ignore,375265
Algeria,DZA,Malaysia,MYS,Ignore,201350
Algeria,DZA,Niger,NER,Ignore,886
Algeria,DZA,Singapore,SGP,Ignore,80655
Algeria,DZA,Thailand,THA,Ignore,51305
Algeria,DZA,United Kingdom,GBR,Ignore,44081
American Samoa,ASM,Australia,AUS,Fuel fabrication,1626
Andorra,AND,Argentina,ARG,Fuel fabrication,474
Andorra,AND,Germany,DEU,Power Plant,103970
Andorra,AND,Philippines,PHL,Ignore,10877
Andorra,AND,Rep. of Korea,KOR,Ignore,370
Andorra,AND,Spain,ESP,Power Plant,2805
Andorra,AND,United Arab Emirates,ARE,Power Plant,426
Angola,AGO,Algeria,DZA,Ignore,69691
Angola,AGO,Congo,COG,Enrichment,3712
Angola,AGO,Congo,COG,Ignore,92980
Angola,AGO,Cote d'Ivoire,CIV,Ignore,547
Angola,AGO,Cuba,CUB,Power Plant,1511
Angola,AGO,Czech Rep.,CZE,Ignore,595
Angola,AGO,Dem. Rep. of the Congo,COD,Enrichment,365
Angola,AGO,Dem. Rep. of the Congo,COD,Power Plant,904
Angola,AGO,Eritrea,ERI,Power Plant,822
Angola,AGO,Ethiopia,ETH,Ignore,1363
Angola,AGO,France,FRA,Ignore,1975
Angola,AGO,Gabon,GAB,Ignore,15767
Angola,AGO,Kazakhstan,KAZ,Ignore,34159
Angola,AGO,Liberia,LBR,Ignore,1807
Angola,AGO,Malaysia,MYS,Ignore,1681
Angola,AGO,Namibia,NAM,Ignore,36226
Angola,AGO,Namibia,NAM,Power Plant,157
Angola,AGO,Netherlands,NLD,Enrichment,306
Angola,AGO,Netherlands,NLD,Ignore,23798
Angola,AGO,Norway,NOR,Ignore,22
Angola,AGO,Portugal,PRT,Ignore,1250
Angola,AGO,Russian Federation,RUS,Ignore,120468
Angola,AGO,Saudi Arabia,SAU,Ignore,2966
Angola,AGO,Singapore,SGP,Ignore,19192
Angola,AGO,South Africa,ZAF,Ignore,14102
Angola,AGO,South Africa,ZAF,Power Plant,175
Angola,AGO,USA,USA,Ignore,916341
Angola,AGO,United Arab Emirates,ARE,Ignore,1027
Angola,AGO,United Kingdom,GBR,Ignore,148153
Antigua and Barbuda,ATG,Germany,DEU,Ignore,20753
Argentina,ARG,Algeria,DZA,Enrichment,101442
Argentina,ARG,Australia,AUS,Enrichment,689765
Argentina,ARG,Australia,AUS,Ignore,58668
Argentina,ARG,Bolivia,BOL,Ignore,870375
Argentina,ARG,Brazil,BRA,Ignore,4581535
Argentina,ARG,Canada,CAN,Fuel fabrication,120089
Argentina,ARG,Canada,CAN,Ignore,4269895
Argentina,ARG,Chile,CHL,Ignore,3170873
Argentina,ARG,Costa Rica,CRI,Ignore,173717
Argentina,ARG,Cuba,CUB,Ignore,1731
Argentina,ARG,Dominican Rep.,DOM,Enrichment,16
Argentina,ARG,Dominican Rep.,DOM,Ignore,102893
Argentina,ARG,Ecuador,ECU,Fuel fabrication,156
Argentina,ARG,Ecuador,ECU,Ignore,3127142
Argentina,ARG,Egypt,EGY,Ignore,2752
Argentina,ARG,El Salvador,SLV,Ignore,340159
Argentina,ARG,France,FRA,Fuel fabrication,2882
Argentina,ARG,France,FRA,Ignore,112
Argentina,ARG,Guatemala,GTM,Ignore,872862
Argentina,ARG,Honduras,HND,Ignore,151360
Argentina,ARG,Indonesia,IDN,Ignore,4327
Argentina,ARG,Japan,JPN,Ignore,41423
Argentina,ARG,Mexico,MEX,Enrichment,3976
Argentina,ARG,Mexico,MEX,Ignore,329349
Argentina,ARG,Mexico,MEX,Mining,3436
Argentina,ARG,Netherlands,NLD,Ignore,16614
Argentina,ARG,New Zealand,NZL,Ignore,10861
Argentina,ARG,Nicaragua,NIC,Ignore,574514
Argentina,ARG,Panama,PAN,Ignore,1000687
Argentina,ARG,Paraguay,PRY,Ignore,714065
Argentina,ARG,Peru,PER,Fuel fabrication,1687210
Argentina,ARG,Peru,PER,Ignore,700801
Argentina,ARG,Poland,POL,Ignore,27307
Argentina,ARG,Rep. of Korea,KOR,Fuel fabrication,286
Argentina,ARG,Rep. of Korea,KOR,Ignore,574
Argentina,ARG,Russian Federation,RUS,Ignore,35398
Argentina,ARG,Saudi Arabia,SAU,Ignore,68746
Argentina,ARG,USA,USA,Fuel fabrication,28472
Argentina,ARG,USA,USA,Ignore,3875
Argentina,ARG,United Kingdom,GBR,Ignore,2224740
Argentina,ARG,Uruguay,URY,Ignore,1782299
Argentina,ARG,Venezuela,VEN,Ignore,99231
Armenia,ARM,Bulgaria,BGR,Ignore,258
Armenia,ARM,China,CHN,Ignore,350
Armenia,ARM,China,CHN,Power Plant,184976
Armenia,ARM,Colombia,COL,Power Plant,4240
Armenia,ARM,Netherlands,NLD,Ignore,357
Aruba,AWB,Sudan,SDN,Enrichment,80
Aruba,AWB,Sudan,SDN,Ignore,1486
Aruba,AWB,Sudan,SDN,Mining,178
Aruba,AWB,USA,USA,Ignore,1286
Aruba,AWB,USA,USA,Spent Fuel / HLW,1254
Aruba,AWB,Venezuela,VEN,Power Plant,335
Australia,AUS,Angola,AGO,Power Plant,494
Australia,AUS,Argentina,ARG,Enrichment,47762
Australia,AUS,Argentina,ARG,Ignore,34728
Australia,AUS,Argentina,ARG,Power Plant,16377
Australia,AUS,Armenia,ARM,Ignore,132544
Australia,AUS,Austria,AUT,Ignore,342723
Australia,AUS,Austria,AUT,Power Plant,41
Australia,AUS,Azerbaijan,AZE,Enrichment,132477
Australia,AUS,Azerbaijan,AZE,Ignore,138250
Australia,AUS,Bahrain,BHR,Fuel fabrication,97616
Australia,AUS,Bangladesh,BGD,Enrichment,69005
Australia,AUS,Belarus,BLR,Ignore,4100
Australia,AUS,Belgium,BEL,Fuel fabrication,26846
Australia,AUS,Belgium,BEL,Ignore,5388
Australia,AUS,Benin,BEN,Ignore,60531
Australia,AUS,Botswana,BWA,Ignore,1468
Australia,AUS,Brazil,BRA,Ignore,257746
Australia,AUS,Brazil,BRA,Power Plant,44878
Australia,AUS,Brunei Darussalam,BRN,Ignore,49466
Australia,AUS,Burkina Faso,BFA,Ignore,7167
Australia,AUS,Canada,CAN,Enrichment,203709
Australia,AUS,Canada,CAN,Fuel fabrication,95372
Australia,AUS,Canada,CAN,Ignore,1645826
Australia,AUS,Canada,CAN,Mining,1230001269
Australia,AUS,Canada,CAN,Power Plant,50897711
Australia,AUS,Chile,CHL,Enrichment,22988
Australia,AUS,Chile,CHL,Fuel fabrication,42815
Australia,AUS,Chile,CHL,Ignore,345695
Australia,AUS,China,CHN,Enrichment,156448
Australia,AUS,China,CHN,Ignore,6477234
Australia,AUS,China,CHN,Mining,94621656
Australia,AUS,China,CHN,Power Plant,1203217171
Australia,AUS,Colombia,COL,Ignore,87467
Australia,AUS,Cote d'Ivoire,CIV,Enrichment,56
Australia,AUS,Czech Rep.,CZE,Ignore,29904
Australia,AUS,Dem. Rep. of the Congo,COD,Ignore,93889
Australia,AUS,Denmark,DNK,Fuel fabrication,195
Australia,AUS,Denmark,DNK,Ignore,229938
Australia,AUS,Dominican Rep.,DOM,Ignore,255479
Australia,AUS,Ecuador,ECU,Ignore,41228
Australia,AUS,El Salvador,SLV,Fuel fabrication,5758
