source,source_iso3,recipient,recipient_iso3,year,category,value_usd
Afghanistan,AFG,India,IND,2018,Ignore,293
Afghanistan,AFG,Pakistan,PAK,2016,Enrichment,7789
Albania,ALB,Colombia,COL,2018,Ignore,26762
Albania,ALB,Germany,DEU,2020,Fuel fabrication,14893
Albania,ALB,Ghana,GHA,2016,Enrichment,3224
Albania,ALB,Hungary,HUN,2019,Ignore,29964
Albania,ALB,Italy,ITA,2017,Fuel fabrication,33630
Albania,ALB,Montenegro,MNE,2021,Fuel fabrication,40266
Albania,ALB,Spain,ESP,2018,Ignore,15323
Algeria,DZA,Argentina,ARG,2018,Enrichment,3296
Algeria,DZA,Argentina,ARG,2018,Mining,35
Algeria,DZA,Belgium,BEL,2016,Ignore,616
Algeria,DZA,Belgium,BEL,2017,Ignore,986
Algeria,DZA,Canada,CAN,2016,Ignore,2738
Algeria,DZA,Czech Rep.,CZE,2016,Ignore,2053
Algeria,DZA,Czech Rep.,CZE,2017,Ignore,10790
Algeria,DZA,Czech Rep.,CZE,2018,Ignore,6138
Algeria,DZA,Czech Rep.,CZE,2019,Enrichment,397
Algeria,DZA,Czech Rep.,CZE,2019,Ignore,118040
Algeria,DZA,Czech Rep.,CZE,2020,Ignore,177434
Algeria,DZA,Czech Rep.,CZE,2021,Enrichment,87
Algeria,DZA,Czech Rep.,CZE,2021,Ignore,103537
Algeria,DZA,Dominican Rep.,DOM,2019,Ignore,5797
Algeria,DZA,Egypt,EGY,2018,Enrichment,2602
Algeria,DZA,Egypt,EGY,2019,Enrichment,34238
Algeria,DZA,France,FRA,2016,Ignore,74261
Algeria,DZA,France,FRA,2017,Ignore,33002
Algeria,DZA,France,FRA,2018,Ignore,10047
Algeria,DZA,France,FRA,2019,Ignore,1603
Algeria,DZA,France,FRA,2020,Ignore,6849
Algeria,DZA,France,FRA,2021,Ignore,4157
Algeria,DZA,Germany,DEU,2019,Ignore,3108
Algeria,DZA,Germany,DEU,2020,Ignore,3466
Algeria,DZA,Germany,DEU,2021,Ignore,24
Algeria,DZA,Hungary,HUN,2020,Ignore,118
Algeria,DZA,Hungary,HUN,2021,Ignore,1500
Algeria,DZA,Indonesia,IDN,2019,Ignore,255498
Algeria,DZA,Indonesia,IDN,2020,Ignore,495032
Algeria,DZA,Malaysia,MYS,2020,Ignore,408811
Algeria,DZA,Niger,NER,2017,Ignore,328
Algeria,DZA,Niger,NER,2021,Ignore,722
Algeria,DZA,Singapore,SGP,2020,Ignore,161310
Algeria,DZA,Thailand,THA,2021,Ignore,51305
Algeria,DZA,United Kingdom,GBR,2021,Ignore,44081
American Samoa,ASM,Australia,AUS,2017,Fuel fabrication,3254
Andorra,AND,Argentina,ARG,2018,Fuel fabrication,947
Andorra,AND,France,FRA,2016,Fuel fabrication,8288
Andorra,AND,Germany,DEU,2018,Power Plant,27286
Andorra,AND,Germany,DEU,2019,Power Plant,89173
Andorra,AND,Germany,DEU,2020,Power Plant,55473
Andorra,AND,Germany,DEU,2021,Power Plant,18003
Andorra,AND,Philippines,PHL,2021,Ignore,10877
Andorra,AND,Rep. of Korea,KOR,2020,Ignore,740
Andorra,AND,Spain,ESP,2016,Power Plant,166
Andorra,AND,Spain,ESP,2018,Power Plant,5608
Andorra,AND,United Arab Emirates,ARE,2018,Power Plant,852
Angola,AGO,Algeria,DZA,2019,Ignore,139382
Angola,AGO,Belgium,BEL,2016,Ignore,2531
Angola,AGO,Congo,COG,2016,Ignore,540382
Angola,AGO,Congo,COG,2018,Enrichment,5121
Angola,AGO,Congo,COG,2018,Ignore,64807
Angola,AGO,Congo,COG,2020,Enrichment,1517
Angola,AGO,Congo,COG,2020,Ignore,17850
Angola,AGO,Congo,COG,2021,Enrichment,391
Angola,AGO,Congo,COG,2021,Ignore,52172
Angola,AGO,Cote d'Ivoire,CIV,2017,Ignore,1093
Angola,AGO,Cuba,CUB,2019,Power Plant,1898
Angola,AGO,Cuba,CUB,2020,Power Plant,562
Angola,AGO,Czech Rep.,CZE,2019,Ignore,157
Angola,AGO,Czech Rep.,CZE,2020,Ignore,576
Angola,AGO,Czech Rep.,CZE,2021,Ignore,234
Angola,AGO,Dem. Rep. of the Congo,COD,2016,Ignore,418
Angola,AGO,Dem. Rep. of the Congo,COD,2016,Mining,249
Angola,AGO,Dem. Rep. of the Congo,COD,2016,Power Plant,2699
Angola,AGO,Dem. Rep. of the Congo,COD,2017,Power Plant,1174
Angola,AGO,Dem. Rep. of the Congo,COD,2019,Enrichment,240
Angola,AGO,Dem. Rep. of the Congo,COD,2019,Power Plant,632
Angola,AGO,Dem. Rep. of the Congo,COD,2021,Enrichment,245
Angola,AGO,Eritrea,ERI,2019,Power Plant,1644
Angola,AGO,Ethiopia,ETH,2018,Ignore,2726
